# Grid created from dataset flickr_images
# Label,WKT
0,"POLYGON ((11.066536404102045 45.671727887764462,11.544173930673830 46.865240326835043,9.995229633242426 47.012226290746462,9.579014061982095 45.807160242475511,11.066536404102045 45.671727887764462))"
1,"POLYGON ((7.785140143296171 44.734731955777214,8.116483200736917 45.920944695035978,6.681615068578809 46.014062785969692,6.407735769346235 44.820472445526754,7.785140143296171 44.734731955777214))"
2,"POLYGON ((9.308586289659647 46.136915813539851,9.407915444857883 46.437975025984592,9.033864565673641 46.468297578177882,8.938352126244570 46.166620624623214,9.308586289659647 46.136915813539851))"
3,"POLYGON ((9.680426512250161 46.105845490035861,9.783571982694893 46.406259606503959,9.407915444857883 46.437975025984592,9.308586289659647 46.136915813539851,9.680426512250161 46.105845490035861))"
4,"POLYGON ((9.783571982694893 46.406259606503959,9.888492063376068 46.708390752550592,9.508958273649842 46.740765226376702,9.407915444857883 46.437975025984592,9.783571982694893 46.406259606503959))"
5,"POLYGON ((9.508958273649842 46.740765226376702,9.611756365859899 47.045274080557789,9.229886243727718 47.076872630420745,9.131029182638482 46.771718927085871,9.508958273649842 46.740765226376702))"
6,"POLYGON ((9.407915444857883 46.437975025984592,9.508958273649842 46.740765226376702,9.131029182638482 46.771718927085871,9.033864565673641 46.468297578177882,9.407915444857883 46.437975025984592))"
7,"POLYGON ((9.033864565673641 46.468297578177882,9.131029182638482 46.771718927085871,8.754750905229027 46.801267596105795,8.661464101722173 46.497242818376414,9.033864565673641 46.468297578177882))"
8,"POLYGON ((9.131029182638482 46.771718927085871,9.229886243727718 47.076872630420745,8.849666788199317 47.107037866411112,8.754750905229027 46.801267596105795,9.131029182638482 46.771718927085871))"
9,"POLYGON ((8.754750905229027 46.801267596105795,8.849666788199317 47.107037866411112,8.471144633014832 47.135786147293089,8.380168685344744 46.829427390640269,8.754750905229027 46.801267596105795))"
10,"POLYGON ((8.661464101722173 46.497242818376414,8.754750905229027 46.801267596105795,8.380168685344744 46.829427390640269,8.290757955202984 46.524826701378764,8.661464101722173 46.497242818376414))"
11,"POLYGON ((8.938352126244570 46.166620624623214,9.033864565673641 46.468297578177882,8.661464101722173 46.497242818376414,8.569767466600860 46.194975291222995,8.938352126244570 46.166620624623214))"
12,"POLYGON ((8.844452822672201 45.866699322341717,8.938352126244570 46.166620624623214,8.569767466600860 46.194975291222995,8.479623279015842 45.894475993981246,8.844452822672201 45.866699322341717))"
13,"POLYGON ((6.395224423808759 46.337657179846090,6.464116618699084 46.642910035436380,6.104448397961738 46.662681089252494,6.039330422848942 46.357021331906907,6.395224423808759 46.337657179846090))"
14,"POLYGON ((6.464116618699084 46.642910035436380,6.534218724673701 46.949985685189482,6.170711962889471 46.970172646973730,6.104448397961738 46.662681089252494,6.464116618699084 46.642910035436380))"
15,"POLYGON ((6.825723722447417 46.621880804618932,6.899673743247255 46.928514557723190,6.534218724673701 46.949985685189482,6.464116618699084 46.642910035436380,6.825723722447417 46.621880804618932))"
16,"POLYGON ((6.899673743247255 46.928514557723190,6.974929515996146 47.236951049105357,6.605560947618245 47.258873840373710,6.534218724673701 46.949985685189482,6.899673743247255 46.928514557723190))"
17,"POLYGON ((7.554599845652008 46.575976112457930,7.636268925612545 46.881646961027428,7.267037353541672 46.905740975426419,7.189231261228175 46.599575397259066,7.554599845652008 46.575976112457930))"
18,"POLYGON ((7.037600675355394 45.992663659611338,7.112763091317550 46.295212965716914,6.753047738292168 46.317060295376415,6.681615068578809 46.014062785969692,7.037600675355394 45.992663659611338))"
19,"POLYGON ((7.474332289426683 46.272097764033767,7.554599845652008 46.575976112457930,7.189231261228175 46.599575397259066,7.112763091317550 46.295212965716914,7.474332289426683 46.272097764033767))"
20,"POLYGON ((7.755073106487263 45.946121326965446,7.837716230932599 46.247697565792492,7.474332289426683 46.272097764033767,7.395432663659406 45.970022128466184,7.755073106487263 45.946121326965446))"
21,"POLYGON ((8.116483200736917 45.920944695035978,8.202874917433583 46.221995565130193,7.837716230932599 46.247697565792492,7.755073106487263 45.946121326965446,8.116483200736917 45.920944695035978))"
22,"POLYGON ((8.202874917433583 46.221995565130193,8.290757955202984 46.524826701378764,7.921789156095402 46.551065564828775,7.837716230932599 46.247697565792492,8.202874917433583 46.221995565130193))"
23,"POLYGON ((8.007326876811252 46.856214866534216,8.094365503789035 47.163134246899688,7.719374198948144 47.189099336386001,7.636268925612545 46.881646961027428,8.007326876811252 46.856214866534216))"
24,"POLYGON ((8.094365503789035 47.163134246899688,8.182942307483673 47.471811700564743,7.803951454258062 47.498321489833778,7.719374198948144 47.189099336386001,8.094365503789035 47.163134246899688))"
25,"POLYGON ((8.182942307483673 47.471811700564743,8.273095764013863 47.782234426085687,7.890037643700349 47.809300882788520,7.803951454258062 47.498321489833778,8.182942307483673 47.471811700564743))"
26,"POLYGON ((7.719374198948144 47.189099336386001,7.803951454258062 47.498321489833778,7.426797197471997 47.523437866766713,7.346214572122230 47.213698966386296,7.719374198948144 47.189099336386001))"
27,"POLYGON ((7.346214572122230 47.213698966386296,7.426797197471997 47.523437866766713,7.051523788871876 47.547179009230049,6.974929515996146 47.236951049105357,7.346214572122230 47.213698966386296))"
28,"POLYGON ((8.946251898069836 47.414541077371524,9.044547666876324 47.723763868020839,8.657948323237804 47.753727967615113,8.563724522277461 47.443890698166882,8.946251898069836 47.414541077371524))"
29,"POLYGON ((9.229886243727718 47.076872630420745,9.330477287543582 47.383745846804587,8.946251898069836 47.414541077371524,8.849666788199317 47.107037866411112,9.229886243727718 47.076872630420745))"
30,"POLYGON ((9.330477287543582 47.383745846804587,9.432845173937748 47.692324919085756,9.044547666876324 47.723763868020839,8.946251898069836 47.414541077371524,9.330477287543582 47.383745846804587))"
31,"POLYGON ((9.611756365859899 47.045274080557789,9.716352617103505 47.351488447245529,9.330477287543582 47.383745846804587,9.229886243727718 47.076872630420745,9.611756365859899 47.045274080557789))"
32,"POLYGON ((9.075174004946824 46.001907463793067,9.123265715833407 46.151937956823744,8.938352126244570 46.166620624623214,8.891203225979188 46.016439843818077,9.075174004946824 46.001907463793067))"
33,"POLYGON ((9.888492063376068 46.708390752550592,9.941630930561736 46.860096294078240,9.750685556024823 46.876631298579809,9.698527496824488 46.724756553235480,9.888492063376068 46.708390752550592))"
34,"POLYGON ((9.698527496824488 46.724756553235480,9.750685556024823 46.876631298579809,9.560135262032682 46.892805623974340,9.508958273649842 46.740765226376702,9.698527496824488 46.724756553235480))"
35,"POLYGON ((6.609135354624716 46.479806002036653,6.644680191009272 46.632553823926067,6.464116618699084 46.642910035436380,6.429521132709435 46.490055144571372,6.609135354624716 46.479806002036653))"
36,"POLYGON ((6.151179404679127 46.043869568795571,6.183964775249060 46.195450736676911,6.007192318111003 46.204881326844962,5.975330264796998 46.053202718844702,6.151179404679127 46.043869568795571))"
37,"POLYGON ((7.121557906661386 47.071167999006256,7.160335079877492 47.225492318009891,6.974929515996146 47.236951049105357,6.937136388553729 47.082508147403487,7.121557906661386 47.071167999006256))"
38,"POLYGON ((7.083119491322478 46.917291704521574,7.121557906661386 47.071167999006256,6.937136388553729 47.082508147403487,6.899673743247255 46.928514557723190,7.083119491322478 46.917291704521574))"
39,"POLYGON ((7.267037353541672 46.905740975426419,7.306452455247130 47.059496620062937,7.121557906661386 47.071167999006256,7.083119491322478 46.917291704521574,7.267037353541672 46.905740975426419))"
40,"POLYGON ((7.306452455247130 47.059496620062937,7.346214572122230 47.213698966386296,7.160335079877492 47.225492318009891,7.121557906661386 47.071167999006256,7.306452455247130 47.059496620062937))"
41,"POLYGON ((7.677639828059231 47.035151173808501,7.719374198948144 47.189099336386001,7.532562722289082 47.201568722573221,7.491814845429587 47.047491756135216,7.677639828059231 47.035151173808501))"
42,"POLYGON ((7.636268925612545 46.881646961027428,7.677639828059231 47.035151173808501,7.491814845429587 47.047491756135216,7.451422221093694 46.893860133160722,7.636268925612545 46.881646961027428))"
43,"POLYGON ((7.189231261228175 46.599575397259066,7.227965016584323 46.752433446012418,7.045015678151126 46.763864833386357,7.007242377355785 46.610888736509985,7.189231261228175 46.599575397259066))"
44,"POLYGON ((7.227965016584323 46.752433446012418,7.267037353541672 46.905740975426419,7.083119491322478 46.917291704521574,7.045015678151126 46.763864833386357,7.227965016584323 46.752433446012418))"
45,"POLYGON ((7.045015678151126 46.763864833386357,7.083119491322478 46.917291704521574,6.899673743247255 46.928514557723190,6.862537519793103 46.774971664549469,7.045015678151126 46.763864833386357))"
46,"POLYGON ((6.969795563782777 46.458364717330269,7.007242377355785 46.610888736509985,6.825723722447417 46.621880804618932,6.789228418749177 46.469243267366807,6.969795563782777 46.458364717330269))"
47,"POLYGON ((7.150831970298083 46.447168146959520,7.189231261228175 46.599575397259066,7.007242377355785 46.610888736509985,6.969795563782777 46.458364717330269,7.150831970298083 46.447168146959520))"
48,"POLYGON ((7.112763091317550 46.295212965716914,7.150831970298083 46.447168146959520,6.969795563782777 46.458364717330269,6.932671275665387 46.306294032265860,7.112763091317550 46.295212965716914))"
49,"POLYGON ((7.216288221590603 45.981499255709082,7.254638207374755 46.132430491055366,7.075020635264524 46.143711077401733,7.037600675355394 45.992663659611338,7.216288221590603 45.981499255709082))"
50,"POLYGON ((7.395432663659406 45.970022128466184,7.434713543895544 46.120833998156264,7.254638207374755 46.132430491055366,7.216288221590603 45.981499255709082,7.395432663659406 45.970022128466184))"
51,"POLYGON ((7.434713543895544 46.120833998156264,7.474332289426683 46.272097764033767,7.293318382434197 46.283814926438659,7.254638207374755 46.132430491055366,7.434713543895544 46.120833998156264))"
52,"POLYGON ((7.696707699502297 46.411648549025927,7.737969466102237 46.563685820297188,7.554599845652008 46.575976112457930,7.514293001393570 46.423812219778867,7.696707699502297 46.411648549025927))"
53,"POLYGON ((7.879571806899757 46.399158231091974,7.921789156095402 46.551065564828775,7.737969466102237 46.563685820297188,7.696707699502297 46.411648549025927,7.879571806899757 46.399158231091974))"
54,"POLYGON ((7.837716230932599 46.247697565792492,7.879571806899757 46.399158231091974,7.696707699502297 46.411648549025927,7.655799896282021 46.260059347510087,7.837716230932599 46.247697565792492))"
55,"POLYGON ((7.655799896282021 46.260059347510087,7.696707699502297 46.411648549025927,7.514293001393570 46.423812219778867,7.474332289426683 46.272097764033767,7.655799896282021 46.260059347510087))"
56,"POLYGON ((8.335270040966630 46.676906551452014,8.380168685344744 46.829427390640269,8.193527492809201 46.842991618576029,8.149601301661335 46.690331176028451,8.335270040966630 46.676906551452014))"
57,"POLYGON ((8.149601301661335 46.690331176028451,8.193527492809201 46.842991618576029,8.007326876811252 46.856214866534216,7.964372686747577 46.703418236209217,8.149601301661335 46.690331176028451))"
58,"POLYGON ((8.106053732380616 46.538113224947857,8.149601301661335 46.690331176028451,7.964372686747577 46.703418236209217,7.921789156095402 46.551065564828775,8.106053732380616 46.538113224947857))"
59,"POLYGON ((7.737969466102237 46.563685820297188,7.779589516493124 46.716169846091240,7.595257054029791 46.728588142058683,7.554599845652008 46.575976112457930,7.737969466102237 46.563685820297188))"
60,"POLYGON ((7.779589516493124 46.716169846091240,7.821572239590209 46.869099263453577,7.636268925612545 46.881646961027428,7.595257054029791 46.728588142058683,7.779589516493124 46.716169846091240))"
61,"POLYGON ((8.380168685344744 46.829427390640269,8.425458615376060 46.982387758982078,8.237836944299158 46.996093109245052,8.193527492809201 46.842991618576029,8.380168685344744 46.829427390640269))"
62,"POLYGON ((8.327624552166816 47.303613215961398,8.373112359801237 47.458028698322053,8.182942307483673 47.471811700564743,8.138459257599624 47.317253995830271,8.327624552166816 47.303613215961398))"
63,"POLYGON ((8.373112359801237 47.458028698322053,8.419002733266012 47.612878960508823,8.227819500991412 47.626805735929914,8.182942307483673 47.471811700564743,8.373112359801237 47.458028698322053))"
64,"POLYGON ((8.563724522277461 47.443890698166882,8.610628385657154 47.598593592048815,8.419002733266012 47.612878960508823,8.373112359801237 47.458028698322053,8.563724522277461 47.443890698166882))"
65,"POLYGON ((8.610628385657154 47.598593592048815,8.657948323237804 47.753727967615113,8.465300694269137 47.768162309414855,8.419002733266012 47.612878960508823,8.610628385657154 47.598593592048815))"
66,"POLYGON ((7.803951454258062 47.498321489833778,7.846803575988951 47.653592346282920,7.656982369711560 47.666456663038026,7.615141962340153 47.511052727346645,7.803951454258062 47.498321489833778))"
67,"POLYGON ((8.660190668698482 47.121588087396844,8.707274734495124 47.275275189265038,8.517231616586630 47.289620996698353,8.471144633014832 47.135786147293089,8.660190668698482 47.121588087396844))"
68,"POLYGON ((8.849666788199317 47.107037866411112,8.897748130957812 47.260573670231558,8.707274734495124 47.275275189265038,8.660190668698482 47.121588087396844,8.849666788199317 47.107037866411112))"
69,"POLYGON ((8.897748130957812 47.260573670231558,8.946251898069836 47.414541077371524,8.754772989799232 47.429395536945023,8.707274734495124 47.275275189265038,8.897748130957812 47.260573670231558))"
70,"POLYGON ((9.716352617103505 47.351488447245529,9.769338826582553 47.505230866608919,9.575184528326451 47.521712577005168,9.523211750004467 47.367800935722904,9.716352617103505 47.351488447245529))"
71,"POLYGON ((9.523211750004467 47.367800935722904,9.575184528326451 47.521712577005168,9.381436393674578 47.537823036812313,9.330477287543582 47.383745846804587,9.523211750004467 47.367800935722904))"
72,"POLYGON ((9.027488252655441 45.852315624453162,9.051280684106137 45.927056629787316,8.959478407617341 45.934327236853726,8.935919359360938 45.859548953966261,9.027488252655441 45.852315624453162))"
73,"POLYGON ((8.959478407617341 45.934327236853726,8.983137418415891 46.009215549077041,8.891203225979188 46.016439843818077,8.867778507399411 45.941514469123561,8.959478407617341 45.934327236853726))"
74,"POLYGON ((6.789228418749177 46.469243267366807,6.807436502232968 46.545505291903801,6.717093224215236 46.550853694545566,6.699122327626026 46.474563973092572,6.789228418749177 46.469243267366807))"
75,"POLYGON ((6.095517563531571 46.200203746712653,6.111784099416404 46.276191775053100,6.023226653485084 46.280893722414611,6.007192318111003 46.204881326844962,6.095517563531571 46.200203746712653))"
76,"POLYGON ((6.200463676727389 46.271414010954715,6.217033965584450 46.347492229655309,6.128121046263958 46.352294883596585,6.111784099416404 46.276191775053100,6.200463676727389 46.271414010954715))"
77,"POLYGON ((6.861087272941426 46.387723172219687,6.879453031007891 46.463843607513979,6.789228418749177 46.469243267366807,6.771098990124891 46.393094884870230,6.861087272941426 46.387723172219687))"
78,"POLYGON ((7.921789156095402 46.551065564828775,7.943034870517193 46.627186318353985,7.850828677995231 46.633570783488786,7.829823375029529 46.557417071050949,7.921789156095402 46.551065564828775))"
79,"POLYGON ((7.943034870517193 46.627186318353985,7.964372686747577 46.703418236209217,7.871925090747578 46.709835839429651,7.850828677995231 46.633570783488786,7.943034870517193 46.627186318353985))"
80,"POLYGON ((7.850828677995231 46.633570783488786,7.871925090747578 46.709835839429651,7.779589516493124 46.716169846091240,7.758734433137676 46.639872072939603,7.850828677995231 46.633570783488786))"
81,"POLYGON ((8.517231616586630 47.289620996698353,8.540427016322699 47.366701593461045,8.445317846831962 47.373778336752686,8.422373219038203 47.296661171140087,8.517231616586630 47.289620996698353))"
82,"POLYGON ((8.707274734495124 47.275275189265038,8.730971769862130 47.352281311020207,8.635645232533159 47.359536007253020,8.612199028422435 47.282492424818017,8.707274734495124 47.275275189265038))"
83,"POLYGON ((6.699122327626026 46.474563973092572,6.708098038033971 46.512694619219680,6.663030415161955 46.515332290380393,6.654113914190685 46.477194804784098,6.699122327626026 46.474563973092572))"
84,"POLYGON ((6.654113914190685 46.477194804784098,6.663030415161955 46.515332290380393,6.617992663402291 46.517950276985658,6.609135354624716 46.479806002036653,6.654113914190685 46.477194804784098))"
85,"POLYGON ((7.451422221093694 46.893860133160722,7.461487311020131 46.932226208999637,7.415286671943917 46.935235287933317,7.405282504086772 46.896861413419323,7.451422221093694 46.893860133160722))"
86,"POLYGON ((7.415286671943917 46.935235287933317,7.425312711213364 46.973637085150820,7.379079993190698 46.976633142317056,7.369114991313292 46.938223577985923,7.415286671943917 46.935235287933317))"
87,"POLYGON ((6.951193349210111 46.382272631331766,6.960484408373272 46.420304497938659,6.915357623039488 46.423046741860610,6.906125624285159 46.385007772455573,6.951193349210111 46.382272631331766))"
88,"POLYGON ((6.960484408373272 46.420304497938659,6.969795563782777 46.458364717330269,6.924609595011173 46.461114083431198,6.915357623039488 46.423046741860610,6.960484408373272 46.420304497938659))"
89,"POLYGON ((6.915357623039488 46.423046741860610,6.924609595011173 46.461114083431198,6.879453031007891 46.463843607513979,6.870260226910202 46.425769194159670,6.915357623039488 46.423046741860610))"
90,"POLYGON ((8.295900618826153 47.031034459489540,8.307124453558048 47.069397198513222,8.260136862310439 47.072808783186304,8.248974742168787 47.034437221877702,8.295900618826153 47.031034459489540))"
91,"POLYGON ((8.552062966644549 47.405282595311519,8.563724522277461 47.443890698166882,8.516030350281985 47.447458597995166,8.504431815536964 47.408841262877985,8.552062966644549 47.405282595311519))"
92,"POLYGON ((8.492858755530815 47.370251053714405,8.504431815536964 47.408841262877985,8.456828020741172 47.412377697386638,8.445317846831962 47.373778336752686,8.492858755530815 47.370251053714405))"
93,"POLYGON ((7.615141962340153 47.511052727346645,7.625567317836458 47.549862452356791,7.578374336119743 47.552999240990857,7.568011987031837 47.514181370072535,7.615141962340153 47.511052727346645))"
94,"POLYGON ((7.578374336119743 47.552999240990857,7.588759667742463 47.591844656978729,7.541532699829566 47.594967908078743,7.531210497327733 47.556114379019583,7.578374336119743 47.552999240990857))"
95,"POLYGON ((8.599721383359949 47.401701661092829,8.611445963627281 47.440300475645621,8.563724522277461 47.443890698166882,8.552062966644549 47.405282595311519,8.599721383359949 47.401701661092829))"
96,"POLYGON ((8.635645232533159 47.359536007253020,8.647406974748600 47.398098426728048,8.599721383359949 47.401701661092829,8.588022538852012 47.363129922453567,8.635645232533159 47.359536007253020))"
97,"POLYGON ((8.576349350905351 47.324585285827382,8.588022538852012 47.363129922453567,8.540427016322699 47.366701593461045,8.528816592477249 47.328147718646015,8.576349350905351 47.324585285827382))"
98,"POLYGON ((6.640507800741377 46.516643742071984,6.644958482016412 46.535724857976689,6.622428524449515 46.537033090570958,6.617992663402291 46.517950276985658,6.640507800741377 46.516643742071984))"
99,"POLYGON ((6.121692506431293 46.218007252569585,6.125771454826256 46.236999125313893,6.103642056910352 46.238183367241838,6.099577619919278 46.219189957499680,6.121692506431293 46.218007252569585))"
100,"POLYGON ((6.139725958357268 46.197836687905117,6.143815009731739 46.216819822860820,6.121692506431293 46.218007252569585,6.117617953833111 46.199022576679823,6.139725958357268 46.197836687905117))"
101,"POLYGON ((6.143815009731739 46.216819822860820,6.147908472094239 46.235810152562458,6.125771454826256 46.236999125313893,6.121692506431293 46.218007252569585,6.143815009731739 46.216819822860820))"
102,"POLYGON ((6.165945121101176 46.215627664004593,6.170053099977961 46.234616444614190,6.147908472094239 46.235810152562458,6.143815009731739 46.216819822860820,6.165945121101176 46.215627664004593))"
103,"POLYGON ((6.161841568401459 46.196646076024273,6.165945121101176 46.215627664004593,6.143815009731739 46.216819822860820,6.139725958357268 46.197836687905117,6.161841568401459 46.196646076024273))"
104,"POLYGON ((6.183964775249060 46.195450736676911,6.188082831806093 46.214430771635975,6.165945121101176 46.215627664004593,6.161841568401459 46.196646076024273,6.183964775249060 46.195450736676911))"
105,"POLYGON ((7.438383376759527 46.933733349239716,7.443408911920731 46.952928808540676,7.420296953447263 46.954432697585133,7.415286671943917 46.935235287933317,7.438383376759527 46.933733349239716))"
106,"POLYGON ((7.461487311020131 46.932226208999637,7.466528101342321 46.951419711348407,7.443408911920731 46.952928808540676,7.438383376759527 46.933733349239716,7.461487311020131 46.932226208999637))"
107,"POLYGON ((7.466528101342321 46.951419711348407,7.471574399844195 46.970620186290823,7.448439939305686 46.972131243099696,7.443408911920731 46.952928808540676,7.466528101342321 46.951419711348407))"
108,"POLYGON ((8.324998146879430 47.048500703515323,8.330628562860488 47.067683282350288,8.307124453558048 47.069397198513222,8.301509475312530 47.050212402397761,8.324998146879430 47.048500703515323))"
109,"POLYGON ((8.319373868584002 47.029324974888738,8.324998146879430 47.048500703515323,8.301509475312530 47.050212402397761,8.295900618826153 47.031034459489540,8.319373868584002 47.029324974888738))"
110,"POLYGON ((8.348493678998945 47.046783590010662,8.354139533434134 47.065963944749498,8.330628562860488 47.067683282350288,8.324998146879430 47.048500703515323,8.348493678998945 47.046783590010662))"
111,"POLYGON ((8.540427016322699 47.366701593461045,8.546241795754264 47.385988705129101,8.522438537304245 47.387768513266998,8.516639472556955 47.368479097838140,8.540427016322699 47.366701593461045))"
112,"POLYGON ((8.516639472556955 47.368479097838140,8.522438537304245 47.387768513266998,8.498642106103247 47.389542765924723,8.492858755530815 47.370251053714405,8.516639472556955 47.368479097838140))"
113,"POLYGON ((8.522438537304245 47.387768513266998,8.528243977215368 47.407064710328982,8.504431815536964 47.408841262877985,8.498642106103247 47.389542765924723,8.522438537304245 47.387768513266998))"
114,"POLYGON ((8.546241795754264 47.385988705129101,8.552062966644549 47.405282595311519,8.528243977215368 47.407064710328982,8.522438537304245 47.387768513266998,8.546241795754264 47.385988705129101))"
115,"POLYGON ((7.601967189522462 47.551433555227739,7.607172753988032 47.570850784460752,7.583564124630428 47.572418507424530,7.578374336119743 47.552999240990857,7.601967189522462 47.551433555227739))"
116,"POLYGON ((7.625567317836458 47.549862452356791,7.630788659585727 47.569277637507255,7.607172753988032 47.570850784460752,7.601967189522462 47.551433555227739,7.625567317836458 47.549862452356791))"
117,"POLYGON ((8.564221375526392 47.364918536393851,8.570051870129889 47.384203337318290,8.546241795754264 47.385988705129101,8.540427016322699 47.366701593461045,8.564221375526392 47.364918536393851))"
118,"POLYGON ((8.593868749093325 47.382412405648125,8.599721383359949 47.401701661092829,8.575888772479285 47.403494913629430,8.570051870129889 47.384203337318290,8.593868749093325 47.382412405648125))"
